Requisition Number,Recorded by,Received Date,Received Time,Status,Status Text,Status Date,Status Time,Priority,Priority Text,Category,Category Text,Problem,Problem Text,Department,Department Text,Division,Division Text,Related Asset Type,After Hours,Call Back Requested,Billing Flag,Projected Start Date,Facility Building,Facility Building Text,Location,Location Text,Primary Residence,Street Number,Street Direction,Street Name,Street Type,Street Suffix,Street 2 Direction,Street 2 Name,Street 2 Type,Other Location Information
18-000341,Person 10,8/22/2018 0:00,1/1/1900 8:06,999,Completed,8/22/2018 0:00,1/1/1900 8:08,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,401,W,High,St,,,,,
18-000340,Person 10,8/22/2018 0:00,1/1/1900 8:02,999,Completed,8/22/2018 0:00,1/1/1900 8:06,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,402,W,Iowa,St,,,,,
18-000339,Person 10,8/22/2018 0:00,1/1/1900 7:56,999,Completed,8/22/2018 0:00,1/1/1900 8:09,2,Medium,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,408,W,Delaware,Ave,,,,,
18-000338,Person 1,8/21/2018 0:00,1/1/1900 14:20,999,Completed,8/21/2018 0:00,1/1/1900 16:17,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1302,,Beslin,St,,,,,house faces Matthews
18-000337,Person 1,8/21/2018 0:00,1/1/1900 11:18,999,Completed,1/31/2019 0:00,1/1/1900 14:05,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1401,,Stout,Dr,,,,,
18-000336,Person 10,8/21/2018 0:00,1/1/1900 10:35,999,Completed,8/21/2018 0:00,1/1/1900 10:38,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1503,S,Smith,Rd,,,,,
18-000332,Person 1,8/17/2018 0:00,1/1/1900 7:52,999,Completed,8/20/2018 0:00,1/1/1900 6:27,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2603,,Fieldcrest,Dr,,,,,
18-000331,Person 1,8/17/2018 0:00,1/1/1900 7:52,999,Completed,8/17/2018 0:00,1/1/1900 10:47,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,108,N,Cottage Grove,Ave,,,,,
18-000330,Person 1,8/16/2018 0:00,1/1/1900 10:30,999,Completed,8/21/2018 0:00,1/1/1900 15:29,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1307,,Berkley,Ave,,,,,
18-000328,Person 1,8/15/2018 0:00,1/1/1900 12:47,999,Completed,8/21/2018 0:00,1/1/1900 16:06,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,901,N,Busey,Ave,,,,,
18-000326,Person 1,8/15/2018 0:00,1/1/1900 9:05,999,Completed,2/19/2019 0:00,1/1/1900 8:18,2,Medium,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2307,,Brookens,Cir,,,,,
18-000325,Person 4,8/14/2018 0:00,1/1/1900 16:48,999,Completed,8/17/2018 0:00,1/1/1900 16:37,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,102,E,McHenry,St,,,,,
18-000324,Person 10,8/14/2018 0:00,1/1/1900 15:51,999,Completed,8/14/2018 0:00,1/1/1900 17:12,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,408,W,High,St,,,,,
18-000323,Person 10,8/14/2018 0:00,1/1/1900 15:49,999,Completed,8/14/2018 0:00,1/1/1900 17:12,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,W,Michigan,Ave,,S,Race,St,1st tree E of Race on Michigan
18-000322,Person 1,8/14/2018 0:00,1/1/1900 14:30,999,Completed,11/16/2018 0:00,1/1/1900 11:24,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,408,W,Florida,Ave,,,,,
18-000321,Person 1,8/14/2018 0:00,1/1/1900 14:27,999,Completed,8/21/2018 0:00,1/1/1900 11:09,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1605,E,Mumford,Dr,,,,,
18-000319,Person 13,8/14/2018 0:00,1/1/1900 7:44,999,Completed,8/16/2018 0:00,1/1/1900 17:34,2,Medium,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,400,S,Vine,St,,,,,East Side of building
18-000317,Person 10,8/13/2018 0:00,1/1/1900 12:04,999,Completed,8/13/2018 0:00,1/1/1900 12:08,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,802,W,Illinois,St,,,,,
18-000315,Person 1,8/13/2018 0:00,1/1/1900 9:27,999,Completed,8/13/2018 0:00,1/1/1900 12:04,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,502,W,Nevada,St,,,,,
18-000314,Person 1,8/13/2018 0:00,1/1/1900 8:37,999,Completed,8/14/2018 0:00,1/1/1900 10:29,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,305,,Colorado,Ave,,,,,
18-000311,Person 1,8/10/2018 0:00,1/1/1900 8:42,999,Completed,10/18/2018 0:00,1/1/1900 8:29,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1002,,Eads,St,,,,,
18-000310,Person 1,8/10/2018 0:00,1/1/1900 7:40,999,Completed,8/14/2018 0:00,1/1/1900 17:13,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1203,,Willard,St,,,,,Professional Property Management
18-000309,Person 10,8/9/2018 0:00,1/1/1900 15:42,999,Completed,1/31/2019 0:00,1/1/1900 13:40,0,Immediate,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1206,,Beslin,St,,,,,
18-000306,Person 1,8/8/2018 0:00,1/1/1900 14:48,999,Completed,8/30/2018 0:00,1/1/1900 16:19,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,603,E,Oregon,St,,,Grove,St,
18-000305,Person 10,8/8/2018 0:00,1/1/1900 12:25,999,Completed,8/8/2018 0:00,1/1/1900 12:28,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1604,,Fairlawn,Dr,,,,,
18-000304,Person 1,8/8/2018 0:00,1/1/1900 12:04,999,Completed,8/8/2018 0:00,1/1/1900 12:25,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,410,W,Delaware,Ave,,,,,
18-000302,Person 1,8/7/2018 0:00,1/1/1900 15:40,999,Completed,8/24/2018 0:00,1/1/1900 10:16,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2604,,Anderson,St,,E,Windsor,Rd,Colony Property Management
18-000300,Person 10,8/7/2018 0:00,1/1/1900 13:54,999,Completed,8/7/2018 0:00,1/1/1900 13:55,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,303,W,Pennsylvania,Ave,,,,,
18-000298,Person 1,8/7/2018 0:00,1/1/1900 11:38,999,Completed,8/17/2018 0:00,1/1/1900 16:22,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,103,W,McHenry,St,,,Grange,Dr,
18-000296,Person 1,8/7/2018 0:00,1/1/1900 8:22,999,Completed,8/7/2018 0:00,1/1/1900 13:51,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,301,W,Pennsylvania,Ave,,,,,
18-000293,Person 3,8/6/2018 0:00,1/1/1900 15:15,999,Completed,8/16/2018 0:00,1/1/1900 18:01,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,2003,E,Country Squire,Dr,,,,,
18-000292,Person 3,8/6/2018 0:00,1/1/1900 13:44,999,Completed,8/30/2018 0:00,1/1/1900 15:24,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,702,,Sunset,Dr,,N,Coler,Ave,
18-000291,Person 3,8/6/2018 0:00,1/1/1900 13:41,999,Completed,8/22/2018 0:00,1/1/1900 15:34,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,2006,,Easy,St,,,,,
18-000288,Person 10,8/2/2018 0:00,1/1/1900 16:54,999,Completed,9/20/2018 0:00,1/1/1900 9:17,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2013,E,Rainbow,View,,,,,
18-000287,Person 8,8/2/2018 0:00,1/1/1900 14:57,999,Completed,8/2/2018 0:00,1/1/1900 15:33,0,Immediate,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,703,E,Park,St,,,,,on a tree located in ROW (Crab Apple Tree)
18-000286,Person 8,8/2/2018 0:00,1/1/1900 13:04,999,Completed,8/2/2018 0:00,1/1/1900 17:13,3,Low,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,,Willow,Ct,,,,,
18-000284,Person 10,8/2/2018 0:00,1/1/1900 9:51,999,Completed,8/2/2018 0:00,1/1/1900 10:08,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,304,E,Elm,St,,,,,
18-000282,Person 8,8/1/2018 0:00,1/1/1900 16:01,999,Completed,8/2/2018 0:00,1/1/1900 15:04,3,Low,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2015,,Cureton,Dr,,,,,
18-000281,Person 10,8/1/2018 0:00,1/1/1900 15:30,999,Completed,8/1/2018 0:00,1/1/1900 15:51,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,901,W,University,Ave,,,,,
18-000280,Person 1,8/1/2018 0:00,1/1/1900 14:11,999,Completed,8/1/2018 0:00,1/1/1900 15:12,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1118,,Hill,St,,,,,
18-000279,Person 1,8/1/2018 0:00,1/1/1900 13:55,999,Completed,8/1/2018 0:00,1/1/1900 14:53,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,803,,Shurts,St,,,,,
18-000278,Person 1,8/1/2018 0:00,1/1/1900 13:37,999,Completed,8/1/2018 0:00,1/1/1900 17:40,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,114,W,Pennsylvania,Ave,,,,,
18-000277,Person 3,8/1/2018 0:00,1/1/1900 12:46,999,Completed,8/1/2018 0:00,1/1/1900 16:02,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,1507,N,Mathews,Ave,,,,,
18-000276,Person 10,8/1/2018 0:00,1/1/1900 12:09,999,Completed,8/1/2018 0:00,1/1/1900 12:11,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1212,W,University,Ave,,,,,
18-000275,Person 8,8/1/2018 0:00,1/1/1900 9:39,999,Completed,8/1/2018 0:00,1/1/1900 18:23,2,Medium,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,601,E,Pennsylvania,Ave,,,,,
18-000274,Person 10,7/31/2018 0:00,1/1/1900 14:56,999,Completed,10/18/2018 0:00,1/1/1900 9:35,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,702,,Ohio,St,,,,,
18-000272,Person 1,7/31/2018 0:00,1/1/1900 14:41,999,Completed,8/1/2018 0:00,1/1/1900 11:25,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1714,,Lydia,Ct,,,,,
18-000270,Person 1,7/31/2018 0:00,1/1/1900 12:50,999,Completed,8/1/2018 0:00,1/1/1900 16:56,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,707,W,Delaware,Ave,,,,,
18-000269,Person 10,7/31/2018 0:00,1/1/1900 11:18,999,Completed,7/31/2018 0:00,1/1/1900 11:20,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,602,W,Oregon,St,,,,,
18-000268,Person 10,7/31/2018 0:00,1/1/1900 10:52,999,Completed,7/31/2018 0:00,1/1/1900 11:51,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,715,W,Delaware,Ave,,,,,
18-000267,Person 1,7/31/2018 0:00,1/1/1900 9:34,999,Completed,7/31/2018 0:00,1/1/1900 11:22,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,512,W,Oregon,St,,,,,
18-000265,Person 10,7/30/2018 0:00,1/1/1900 16:31,999,Completed,7/30/2018 0:00,1/1/1900 16:33,,,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1207,,Cole,Pl,,,,,
18-000264,Person 10,7/30/2018 0:00,1/1/1900 15:21,999,Completed,7/30/2018 0:00,1/1/1900 15:25,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,506,W,Pennsylvania,Ave,,,,,
18-000263,Person 10,7/30/2018 0:00,1/1/1900 14:47,999,Completed,7/30/2018 0:00,1/1/1900 14:49,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,302,W,Vermont,Ave,,,,,
18-000262,Person 10,7/30/2018 0:00,1/1/1900 14:05,999,Completed,7/30/2018 0:00,1/1/1900 14:08,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,203,W,Vermont,Ave,,,,,
18-000259,Person 8,7/27/2018 0:00,1/1/1900 16:40,999,Completed,7/27/2018 0:00,1/1/1900 16:43,3,Low,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,501,W,Illinois,St,,,,,
18-000257,Person 1,7/27/2018 0:00,1/1/1900 12:16,999,Completed,11/16/2018 0:00,1/1/1900 11:04,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2008,,Cureton,Dr,,,,,
18-000255,Person 8,7/27/2018 0:00,1/1/1900 9:30,999,Completed,7/31/2018 0:00,1/1/1900 14:31,1,High,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,601,E,Washington,St,,,,,
18-000254,Person 1,7/26/2018 0:00,1/1/1900 16:27,999,Completed,8/22/2018 0:00,1/1/1900 14:41,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,2503,,Pond,St,,,,,
18-000252,Person 1,7/26/2018 0:00,1/1/1900 11:27,999,Completed,1/31/2019 0:00,1/1/1900 13:31,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2013,E,Rainbow,View,,,,,
18-000251,Person 8,7/26/2018 0:00,1/1/1900 10:06,999,Completed,11/15/2018 0:00,1/1/1900 15:26,3,Low,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1909,,Easy,St,,,,,
18-000249,Person 8,7/26/2018 0:00,1/1/1900 8:26,999,Completed,1/31/2019 0:00,1/1/1900 13:34,3,Low,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,304,W,Delaware,Ave,,,,,Tree across the street w/ dead hangar
18-000248,Person 1,7/25/2018 0:00,1/1/1900 15:42,999,Completed,7/31/2018 0:00,1/1/1900 14:56,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,612,,Ohio,St,,,,,
18-000247,Person 8,7/25/2018 0:00,1/1/1900 15:35,999,Completed,1/31/2019 0:00,1/1/1900 13:38,2,Medium,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,8/24/2018 0:00,,,,,FALSE,2529,,St Andrews,Rd,,,,,
18-000244,Person 8,7/24/2018 0:00,1/1/1900 11:04,999,Completed,10/18/2018 0:00,1/1/1900 13:12,3,Low,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2214,,Pebblebrooke,Ln,,,,,
18-000238,Person 1,7/23/2018 0:00,1/1/1900 15:21,999,Completed,7/27/2018 0:00,1/1/1900 6:46,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,808,,Clark,St,,,,,Advantage Property Management
18-000236,Person 1,7/23/2018 0:00,1/1/1900 13:29,999,Completed,7/24/2018 0:00,1/1/1900 13:50,,,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1303,E,Mumford,Dr,,,,,
18-000235,Person 8,7/23/2018 0:00,1/1/1900 12:05,999,Completed,7/31/2018 0:00,1/1/1900 14:14,3,Low,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,608,,Johnson,Ave,,,,,
18-000232,Person 8,7/23/2018 0:00,1/1/1900 10:38,999,Completed,7/31/2018 0:00,1/1/1900 15:08,1,High,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,310,,Eliot,Dr,,,,,2108 Vine St (she is neighbor behind Eliot calling in)
18-000230,Person 1,7/23/2018 0:00,1/1/1900 9:44,999,Completed,7/23/2018 0:00,1/1/1900 9:56,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,609,W,Pennsylvania,Ave,,,,,
18-000229,Person 8,7/23/2018 0:00,1/1/1900 9:10,999,Completed,7/23/2018 0:00,1/1/1900 13:02,0,Immediate,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,608,W,Oregon,St,,,,,
18-000228,Person 1,7/23/2018 0:00,1/1/1900 8:47,999,Completed,7/23/2018 0:00,1/1/1900 12:28,,,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1801,S,Vine,St,,,,,
18-000225,Person 10,7/20/2018 0:00,1/1/1900 16:33,999,Completed,7/20/2018 0:00,1/1/1900 16:34,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,805,S,Coler,Ave,,,,,
18-000224,Person 10,7/20/2018 0:00,1/1/1900 16:08,999,Completed,7/20/2018 0:00,1/1/1900 16:13,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,805,W,Delaware,Ave,,,,,
18-000223,Person 10,7/20/2018 0:00,1/1/1900 16:03,999,Completed,7/20/2018 0:00,1/1/1900 16:07,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,806,W,Delaware,Ave,,,,,
18-000220,Person 8,7/20/2018 0:00,1/1/1900 13:52,999,Completed,7/20/2018 0:00,1/1/1900 17:21,0,Immediate,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,1605,S,Maple,St,,,,,
18-000211,Person 10,7/19/2018 0:00,1/1/1900 11:42,999,Completed,7/19/2018 0:00,1/1/1900 11:48,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,606,E,Harding,Dr,,,,,
18-000206,Person 1,7/17/2018 0:00,1/1/1900 16:22,999,Completed,7/20/2018 0:00,1/1/1900 11:58,2,Medium,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1302,,Brighton,Dr,,,,,
18-000205,Person 1,7/17/2018 0:00,1/1/1900 15:23,999,Completed,1/31/2019 0:00,1/1/1900 13:43,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1910,,Weaver,St,,,,,
18-000204,Person 1,7/17/2018 0:00,1/1/1900 14:23,999,Completed,7/20/2018 0:00,1/1/1900 16:26,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,613,W,Nevada,St,,N,Coler,Ave,east of Lincoln
18-000203,Person 1,7/17/2018 0:00,1/1/1900 14:01,999,Completed,7/20/2018 0:00,1/1/1900 12:11,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2105,,Lantern Hill,Dr,,,,,
18-000200,Person 10,7/16/2018 0:00,1/1/1900 18:11,999,Completed,7/20/2018 0:00,1/1/1900 17:29,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,,,,,,,,
18-000199,Person 10,7/16/2018 0:00,1/1/1900 16:16,999,Completed,7/16/2018 0:00,1/1/1900 16:17,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,906,E,Pennsylvania,Ave,,,,,
18-000198,Person 8,7/16/2018 0:00,1/1/1900 16:08,999,Completed,7/20/2018 0:00,1/1/1900 15:01,3,Low,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,110,W,Vermont,Ave,,,,,
18-000196,Person 1,7/16/2018 0:00,1/1/1900 14:19,999,Completed,10/17/2018 0:00,1/1/1900 16:04,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,2011,,Burlison,Dr,,,,,
18-000195,Person 8,7/16/2018 0:00,1/1/1900 13:01,999,Completed,7/23/2018 0:00,1/1/1900 12:26,0,Immediate,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,E,Country Squire,Dr,,,Kinch,St,Northwest Corner
18-000193,Person 1,7/16/2018 0:00,1/1/1900 11:41,999,Completed,10/17/2018 0:00,1/1/1900 15:49,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,704,S,Walnut,St,,,,,
18-000191,Person 1,7/16/2018 0:00,1/1/1900 11:28,999,Completed,9/12/2018 0:00,1/1/1900 15:03,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,810,,Fairview,Ave,,,,,
18-000190,Person 8,7/16/2018 0:00,1/1/1900 11:08,999,Completed,7/16/2018 0:00,1/1/1900 16:25,2,Medium,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1702,,Hunter,St,,,,,
18-000189,Person 8,7/16/2018 0:00,1/1/1900 10:38,999,Completed,7/23/2018 0:00,1/1/1900 10:37,3,Low,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,,Easy,St,,S,Rainbow,View,
18-000188,Person 10,7/16/2018 0:00,1/1/1900 9:54,999,Completed,7/16/2018 0:00,1/1/1900 10:26,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,3112,,Myra Ridge,Dr,,,,,
18-000187,Person 8,7/16/2018 0:00,1/1/1900 9:15,999,Completed,8/29/2018 0:00,1/1/1900 15:10,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2003,S,Vine,St,,,,,
18-000185,Person 10,7/16/2018 0:00,1/1/1900 8:54,999,Completed,7/16/2018 0:00,1/1/1900 9:30,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1308,,Ogelthorpe,Ave,,,,,
