Work Order Number,Creation Date,Start Date,End Date,Duration Actual(Hrs),Status Date,Task Code,Task Text,Resource Type,Resource Type Text,Resource,Resource Text,Unit Cost,Units,Total Cost,Default Unit Cost,Grand Total Units,Unit Cost-Regular Time,Unit Cost-Overtime,Override Unit Cost,Grand Total Cost,Time Cost,Time Cost Text,Unit of Measure,Unit of Measure Text,Additional Description
18-001483,10/17/2018,10/17/2018,10/17/2018,0,12/14/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001476,10/16/2018,10/15/2018,10/15/2018,0,12/14/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-001475,10/16/2018,10/16/2018,10/16/2018,0,12/14/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001465,10/15/2018,10/15/2018,10/15/2018,0,12/14/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001456,10/12/2018,10/12/2018,10/12/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001444,10/11/2018,10/11/2018,10/11/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001419,10/10/2018,10/10/2018,10/10/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001412,10/9/2018,10/9/2018,10/9/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001396,10/8/2018,10/8/2018,10/8/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001341,10/4/2018,10/4/2018,10/4/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001340,10/4/2018,10/3/2018,10/3/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001316,10/2/2018,10/2/2018,10/2/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001304,10/1/2018,10/1/2018,10/1/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001270,9/26/2018,9/26/2018,9/26/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,7.25,298.28,41.142,7.25,41.142,53.7,,298.28,1,REGULAR TIME,,,
18-001267,9/26/2018,9/24/2018,9/24/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,7.5,308.57,41.142,7.5,41.142,53.7,,308.57,1,REGULAR TIME,,,
18-001147,9/20/2018,9/20/2018,9/20/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001105,9/19/2018,9/18/2018,9/18/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,6,246.85,41.142,6,41.142,53.7,,246.85,1,REGULAR TIME,,,
18-001103,9/19/2018,9/19/2018,9/19/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001082,9/17/2018,9/17/2018,9/17/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001052,9/14/2018,9/13/2018,9/13/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001050,9/14/2018,9/12/2018,9/12/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,3,123.43,41.142,3,41.142,53.7,,123.43,1,REGULAR TIME,,,
18-001049,9/14/2018,9/11/2018,9/11/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,6,246.85,41.142,6,41.142,53.7,,246.85,1,REGULAR TIME,,,
18-001047,9/14/2018,9/11/2018,9/11/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001026,9/10/2018,9/10/2018,9/10/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001023,9/7/2018,9/7/2018,9/7/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001022,9/7/2018,9/6/2018,9/6/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-001021,9/7/2018,9/6/2018,9/6/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-001013,9/6/2018,9/6/2018,9/6/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001008,9/5/2018,9/5/2018,9/5/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000996,9/4/2018,9/4/2018,9/4/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000968,8/30/2018,8/30/2018,8/30/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000967,8/30/2018,8/29/2018,8/29/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000955,8/28/2018,8/28/2018,8/28/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000941,8/27/2018,8/27/2018,8/27/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,4.5,185.14,41.142,4.5,41.142,53.7,,185.14,1,REGULAR TIME,,,
18-000908,8/24/2018,8/23/2018,8/23/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000887,8/22/2018,8/22/2018,8/22/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000886,8/22/2018,8/21/2018,8/21/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000825,8/20/2018,8/20/2018,8/20/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000712,8/13/2018,8/9/2018,8/9/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-000711,8/13/2018,8/8/2018,8/8/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-000710,8/13/2018,8/8/2018,8/8/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-000709,8/13/2018,8/7/2018,8/7/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-000707,8/13/2018,8/6/2018,8/6/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-000706,8/13/2018,8/13/2018,8/13/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000697,8/10/2018,8/10/2018,8/10/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,7,287.99,41.142,7,41.142,53.7,,287.99,1,REGULAR TIME,,,
18-000695,8/9/2018,8/9/2018,8/9/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000692,8/8/2018,8/8/2018,8/8/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000671,8/7/2018,8/7/2018,8/7/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,7.5,308.57,41.142,7.5,41.142,53.7,,308.57,1,REGULAR TIME,,,
18-000670,8/7/2018,8/6/2018,8/6/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-000650,8/6/2018,8/6/2018,8/6/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000611,8/2/2018,8/2/2018,8/2/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,5,205.71,41.142,5,41.142,53.7,,205.71,1,REGULAR TIME,,,
18-000603,8/1/2018,8/1/2018,8/1/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000602,8/1/2018,7/31/2018,7/31/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000601,8/1/2018,7/30/2018,7/30/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000568,7/27/2018,7/26/2018,7/27/2018,8,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,16,658.27,41.142,16,41.142,53.7,,658.27,1,REGULAR TIME,,,
18-000567,7/27/2018,7/25/2018,7/25/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000566,7/27/2018,7/24/2018,7/24/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000507,7/23/2018,7/9/2018,7/13/2018,32,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,40,1645.68,41.142,40,41.142,53.7,,1645.68,1,REGULAR TIME,,,
18-000506,7/23/2018,7/16/2018,7/17/2018,8,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,16,658.27,41.142,16,41.142,53.7,,658.27,1,REGULAR TIME,,,
18-000504,7/23/2018,7/5/2018,7/6/2018,32,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,16,658.27,41.142,16,41.142,53.7,,658.27,1,REGULAR TIME,,,
18-000504,7/23/2018,7/2/2018,7/3/2018,32,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,16,658.27,41.142,16,41.142,53.7,,658.27,1,REGULAR TIME,,,
18-000495,7/23/2018,6/25/2018,6/29/2018,32,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,40,1645.68,41.142,40,41.142,53.7,,1645.68,1,REGULAR TIME,,,
18-000494,7/23/2018,7/18/2018,7/18/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000491,7/23/2018,7/23/2018,7/23/2018,0,12/17/2018,LOC,Locates,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
19-000230,2/8/2019,1/12/2019,1/12/2019,16,2/8/2019,ST37,Plowing and Salting Streets,1,Employee,9,EMPLOYEE 9,53.7,12,644.4,41.142,12,41.142,53.7,,644.4,2,OVERTIME,,,
19-000230,2/8/2019,1/13/2019,1/13/2019,16,2/8/2019,ST37,Plowing and Salting Streets,1,Employee,9,EMPLOYEE 9,53.7,6,322.2,41.142,6,41.142,53.7,,322.2,2,OVERTIME,,,
18-001971,11/30/2018,11/29/2018,11/29/2018,0,12/14/2018,STT1,Inspection,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-001498,10/18/2018,10/18/2018,10/18/2018,0,10/18/2018,STT1,Inspection,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
19-001012,7/17/2019,7/12/2019,7/12/2019,0,7/19/2019,STT15,Misc. Electrical Maintenance,1,Employee,9,EMPLOYEE 9,41.142,1.5,61.71,41.142,1.5,41.142,53.7,,61.71,1,REGULAR TIME,,,
19-001011,7/17/2019,7/12/2019,7/12/2019,0,7/19/2019,STT15,Misc. Electrical Maintenance,1,Employee,9,EMPLOYEE 9,41.142,1.5,61.71,41.142,1.5,41.142,53.7,,61.71,1,REGULAR TIME,,,
19-001010,7/17/2019,7/12/2019,7/12/2019,0,7/19/2019,STT15,Misc. Electrical Maintenance,1,Employee,9,EMPLOYEE 9,41.142,5,205.71,41.142,5,41.142,53.7,,205.71,1,REGULAR TIME,,,
19-000127,1/23/2019,1/22/2019,1/22/2019,0,2/20/2019,STT15,Misc. Electrical Maintenance,1,Employee,9,EMPLOYEE 9,41.142,1,41.14,41.142,1,41.142,53.7,,41.14,1,REGULAR TIME,,,
18-001269,9/26/2018,9/24/2018,9/24/2018,0,9/27/2018,STT15,Misc. Electrical Maintenance,1,Employee,9,EMPLOYEE 9,53.7,1,53.7,41.142,1,41.142,53.7,,53.7,2,OVERTIME,,,
18-001268,9/26/2018,9/24/2018,9/24/2018,0,9/27/2018,STT15,Misc. Electrical Maintenance,1,Employee,9,EMPLOYEE 9,41.142,0.5,20.57,41.142,0.5,41.142,53.7,,20.57,1,REGULAR TIME,,,
19-001001,7/17/2019,7/12/2019,7/12/2019,0,7/19/2019,STT18,Traffic Signal Cabinet Maintenance,1,Employee,9,EMPLOYEE 9,53.7,2.5,134.25,41.142,2.5,41.142,53.7,,134.25,2,OVERTIME,,,
18-001623,10/26/2018,10/2/2018,10/2/2018,0,12/14/2018,STT27,ESDA Sirens Maintenance,1,Employee,9,EMPLOYEE 9,41.142,0.25,10.29,41.142,0.25,41.142,53.7,,10.29,1,REGULAR TIME,,,
19-000977,7/8/2019,7/5/2019,7/5/2019,0,7/25/2019,STT28,Misc. Traffic Signals,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-000475,7/20/2018,7/20/2018,7/20/2018,0,7/20/2018,STT29,Pedestrian Signals,1,Employee,9,EMPLOYEE 9,41.142,0,0,41.142,0,41.142,53.7,,0,1,REGULAR TIME,,,
19-000112,1/17/2019,1/17/2019,1/17/2019,0,1/22/2019,STT3,Streetlight Relamps,1,Employee,9,EMPLOYEE 9,41.142,2,82.28,41.142,2,41.142,53.7,,82.28,1,REGULAR TIME,,,
19-001289,8/21/2019,8/23/2019,8/23/2019,56,8/21/2019,STT36,Special Event Festival_Fair,1,Employee,9,EMPLOYEE 9,49.04,8,392.32,49.04,8,49.04,67.91,,392.32,1,REGULAR TIME,,,
19-001289,8/21/2019,8/23/2019,8/23/2019,56,8/21/2019,STT36,Special Event Festival_Fair,1,Employee,9,EMPLOYEE 9,67.91,4,271.64,49.04,4,49.04,67.91,,271.64,2,OVERTIME,,,
19-001289,8/21/2019,8/26/2019,8/26/2019,56,8/21/2019,STT36,Special Event Festival_Fair,1,Employee,9,EMPLOYEE 9,49.04,1,49.04,49.04,1,49.04,67.91,,49.04,1,REGULAR TIME,,,
18-000816,8/20/2018,8/24/2018,8/24/2018,56,8/31/2018,STT36,Special Event Festival_Fair,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000816,8/20/2018,8/24/2018,8/24/2018,56,8/31/2018,STT36,Special Event Festival_Fair,1,Employee,9,EMPLOYEE 9,41.142,1.5,61.71,41.142,1.5,41.142,53.7,,61.71,1,REGULAR TIME,,,
19-000005,1/2/2019,1/2/2019,1/2/2019,0,2/18/2019,STT40,Special Event Other,1,Employee,9,EMPLOYEE 9,41.142,1,41.14,41.142,1,41.142,53.7,,41.14,1,REGULAR TIME,,,
19-001312,8/26/2019,8/23/2019,8/23/2019,0,8/26/2019,STT42,Special Event Electrical Set_up,1,Employee,9,EMPLOYEE 9,67.91,4,271.64,49.04,4,49.04,67.91,,271.64,2,OVERTIME,,,
19-001308,8/23/2019,8/23/2019,8/23/2019,0,8/23/2019,STT42,Special Event Electrical Set_up,1,Employee,9,EMPLOYEE 9,49.04,3,147.12,49.04,3,49.04,67.91,,147.12,1,REGULAR TIME,,,
18-000940,8/27/2018,8/24/2018,8/24/2018,0,2/18/2019,STT42,Special Event Electrical Set_up,1,Employee,9,EMPLOYEE 9,53.7,1.5,80.55,41.142,1.5,41.142,53.7,,80.55,2,OVERTIME,,,
18-000925,8/24/2018,8/24/2018,8/24/2018,0,12/21/2018,STT42,Special Event Electrical Set_up,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
19-001235,8/9/2019,8/9/2019,8/9/2019,0,8/15/2019,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,67.91,2,135.82,49.04,2,49.04,67.91,,135.82,2,OVERTIME,,,
19-001197,8/6/2019,8/6/2019,8/6/2019,0,8/26/2019,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,49.04,1.5,73.56,49.04,1.5,49.04,67.91,,73.56,1,REGULAR TIME,,,
19-000996,7/12/2019,7/11/2019,7/11/2019,0,7/19/2019,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
19-000126,1/23/2019,1/22/2019,1/22/2019,0,3/13/2019,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,41.142,1,41.14,41.142,1,41.142,53.7,,41.14,1,REGULAR TIME,,,
18-001979,12/3/2018,12/3/2018,12/3/2018,0,12/14/2018,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,41.142,1,41.14,41.142,1,41.142,53.7,,41.14,1,REGULAR TIME,,,
18-001687,10/26/2018,10/25/2018,10/25/2018,0,12/14/2018,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,41.142,2,82.28,41.142,2,41.142,53.7,,82.28,1,REGULAR TIME,,,
18-001504,10/22/2018,10/20/2018,10/20/2018,0,12/14/2018,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,53.7,2,107.4,41.142,2,41.142,53.7,,107.4,2,OVERTIME,,,
18-001294,9/28/2018,9/28/2018,9/28/2018,0,12/17/2018,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,41.142,2,82.28,41.142,2,41.142,53.7,,82.28,1,REGULAR TIME,,,
18-000995,9/4/2018,9/4/2018,9/4/2018,0,12/17/2018,STT44,Equipment Maintenance,1,Employee,9,EMPLOYEE 9,41.142,1,41.14,41.142,1,41.142,53.7,,41.14,1,REGULAR TIME,,,
18-001617,10/24/2018,10/24/2018,10/24/2018,0,12/14/2018,STT45,Training,1,Employee,9,EMPLOYEE 9,41.142,4.5,185.14,41.142,4.5,41.142,53.7,,185.14,1,REGULAR TIME,,,
19-000135,1/24/2019,1/24/2019,1/24/2019,0,2/18/2019,STT46,Meetings,1,Employee,9,EMPLOYEE 9,41.142,1.5,61.71,41.142,1.5,41.142,53.7,,61.71,1,REGULAR TIME,,,
18-001988,12/5/2018,11/27/2018,11/27/2018,0,12/14/2018,STT46,Meetings,1,Employee,9,EMPLOYEE 9,41.142,2,82.28,41.142,2,41.142,53.7,,82.28,1,REGULAR TIME,,,
18-001963,11/29/2018,11/27/2018,11/27/2018,0,12/14/2018,STT46,Meetings,1,Employee,9,EMPLOYEE 9,41.142,2,82.28,41.142,2,41.142,53.7,,82.28,1,REGULAR TIME,,,
18-001690,10/26/2018,10/26/2018,10/26/2018,0,12/14/2018,STT46,Meetings,1,Employee,9,EMPLOYEE 9,41.142,1,41.14,41.142,1,41.142,53.7,,41.14,1,REGULAR TIME,,,
18-001499,10/19/2018,10/19/2018,10/19/2018,0,12/14/2018,STT46,Meetings,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001048,9/14/2018,9/11/2018,9/11/2018,0,12/17/2018,STT52,Debris Removal,1,Employee,9,EMPLOYEE 9,41.142,2,82.28,41.142,2,41.142,53.7,,82.28,1,REGULAR TIME,,,
19-000149,1/29/2019,1/28/2019,1/28/2019,0,2/18/2019,STT7,Fault Repair,1,Employee,9,EMPLOYEE 9,41.142,5,205.71,41.142,5,41.142,53.7,,205.71,1,REGULAR TIME,,,
18-001985,12/5/2018,12/4/2018,12/4/2018,0,12/14/2018,STT7,Fault Repair,1,Employee,9,EMPLOYEE 9,41.142,1.5,61.71,41.142,1.5,41.142,53.7,,61.71,1,REGULAR TIME,,,
19-000945,7/1/2019,6/26/2019,6/26/2019,0,8/26/2019,STT8,Pole Installation,1,Employee,9,EMPLOYEE 9,41.142,6,246.85,41.142,6,41.142,53.7,,246.85,1,REGULAR TIME,,,
19-000885,6/18/2019,6/18/2019,6/18/2019,0,6/18/2019,STT8,Pole Installation,1,Employee,9,EMPLOYEE 9,41.142,6,246.85,41.142,6,41.142,53.7,,246.85,1,REGULAR TIME,,,
19-000856,6/14/2019,6/14/2019,6/14/2019,0,7/25/2019,STT8,Pole Installation,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-000109,6/25/2018,6/25/2018,6/25/2018,0,6/25/2018,STT8,Pole Installation,1,Employee,9,EMPLOYEE 9,41.142,0,0,41.142,0,41.142,53.7,,0,1,REGULAR TIME,,,
18-000505,7/23/2018,7/23/2018,7/26/2018,24,7/26/2018,STT9,Pole Replacement,1,Employee,9,EMPLOYEE 9,41.142,0,0,41.142,0,41.142,53.7,,0,1,REGULAR TIME,,,
18-000172,6/29/2018,6/28/2018,6/28/2018,0,6/29/2018,STT9,Pole Replacement,1,Employee,9,EMPLOYEE 9,41.142,0,0,41.142,0,41.142,53.7,,0,1,REGULAR TIME,,,
19-000849,6/14/2019,6/12/2019,6/12/2019,0,6/14/2019,STT99,Replace,1,Employee,9,EMPLOYEE 9,41.142,3,123.43,41.142,3,41.142,53.7,,123.43,1,REGULAR TIME,,,
19-000835,6/12/2019,6/11/2019,6/11/2019,0,6/12/2019,STT99,Replace,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
18-001295,9/28/2018,9/28/2018,9/28/2018,0,9/28/2018,STT99,Replace,1,Employee,9,EMPLOYEE 9,41.142,6,246.85,41.142,6,41.142,53.7,,246.85,1,REGULAR TIME,,,
18-001287,9/28/2018,9/27/2018,9/27/2018,0,9/28/2018,STT99,Replace,1,Employee,9,EMPLOYEE 9,41.142,8,329.14,41.142,8,41.142,53.7,,329.14,1,REGULAR TIME,,,
19-000749,5/14/2019,5/25/2019,5/25/2019,128,6/3/2019,STT36,Special Event Festival_Fair,1,Employee,10,EMPLOYEE 10,55.76,4,223.04,42.205,4,42.205,55.76,,223.04,2,OVERTIME,,,
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,8,347.42,43.428,8,43.428,43.43,,347.42,1,REGULAR TIME,,,
19-000818,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,8,347.42,43.428,8,43.428,43.43,,347.42,1,REGULAR TIME,,,
19-000817,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,8,347.42,43.428,8,43.428,43.43,,347.42,1,REGULAR TIME,,,
19-000816,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,8,347.42,43.428,8,43.428,43.43,,347.42,1,REGULAR TIME,,,
19-000815,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,8,347.42,43.428,8,43.428,43.43,,347.42,1,REGULAR TIME,,,
19-000814,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,8,347.42,43.428,8,43.428,43.43,,347.42,1,REGULAR TIME,,,
19-000813,6/6/2019,,,488,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,12,521.14,43.428,12,43.428,43.43,,521.14,1,REGULAR TIME,,,
19-000812,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,1,Employee,11,EMPLOYEE 11,43.428,10,434.28,43.428,10,43.428,43.43,,434.28,1,REGULAR TIME,,,
19-000059,1/10/2019,,,0,5/22/2019,LNDT17,Landscape Construction,1,Employee,11,EMPLOYEE 11,43.428,0.5,21.71,43.428,0.5,43.428,43.43,,21.71,1,REGULAR TIME,,,
19-000207,2/6/2019,2/1/2019,2/1/2019,0,2/6/2019,ST38,Sidewalk Snow Removal,1,Employee,11,EMPLOYEE 11,43.428,6,260.57,43.428,6,43.428,43.43,,260.57,1,REGULAR TIME,,,
